  0.00000000E+00 -7.97533333E+01 -9.69690000E+01 -1.03887333E+02 -1.07474333E+02 -1.08399000E+02 -1.09560667E+02 -1.09651667E+02 -1.12552667E+02 -1.12266667E+02 -1.11339667E+02 -1.12882667E+02 -1.12207667E+02 -1.09710333E+02 -1.09385000E+02 -1.10838333E+02 -1.10707000E+02 -1.11288000E+02 -1.08462333E+02 -1.09060000E+02 -1.10235333E+02 -1.10054667E+02 -1.11317667E+02 -1.11978333E+02 -1.12981333E+02 -1.09275667E+02 -1.12197000E+02 -1.12577667E+02 -1.11720333E+02 -1.12725333E+02 -1.10942667E+02 -1.12166000E+02 -1.12403667E+02 -1.10716333E+02 -1.09767333E+02 -1.11188667E+02 -1.12487667E+02 -1.14454333E+02 
 -1.12723667E+02 -1.14349000E+02 -1.17060000E+02 -1.17705667E+02 -1.16557667E+02 -1.16336000E+02 -1.15012667E+02 -1.17838333E+02 -1.16463000E+02 -1.15387333E+02 -1.16671667E+02 -1.14662333E+02 -1.15069667E+02 -1.14884000E+02 -1.14982667E+02 -1.16331000E+02 -1.14775667E+02 -1.16614333E+02 -1.15321333E+02 -1.18442667E+02 -1.16160667E+02 -1.16605667E+02 -1.14910000E+02 -1.19385000E+02 -1.18949333E+02 -1.17371333E+02 -1.17457667E+02 -1.16186333E+02 -1.16409333E+02 -1.14926333E+02 -1.14035000E+02 -1.13933000E+02 -1.15969333E+02 -1.17022333E+02 -1.15753333E+02 -1.17782333E+02 -1.16703333E+02 -1.16461333E+02 
 -1.16240333E+02 -1.19266667E+02 -1.19364333E+02 -1.21052000E+02 -1.17702333E+02 -1.19159333E+02 -1.23248667E+02 -1.21957000E+02 -1.21120333E+02 -1.21781333E+02 -1.18902667E+02 -1.20761333E+02 -1.20345000E+02 -1.18870333E+02 -1.18533667E+02 -1.18404333E+02 -1.20496667E+02 -1.20082667E+02 -1.21609333E+02 -1.23582333E+02 -1.24347000E+02 -1.24458667E+02 -1.23857667E+02 -1.24293000E+02 -1.22082000E+02 -1.21755667E+02 -1.20440333E+02 -1.21484667E+02 -1.21486667E+02 -1.20239667E+02 -1.19660333E+02 -1.21779000E+02 -1.21887333E+02 -1.21106333E+02 -1.20933333E+02 -1.21224667E+02 -1.21355333E+02 -1.22645333E+02 
 -1.23991333E+02 -1.24853000E+02 -1.26765333E+02 -1.26921333E+02 -1.25197333E+02 -1.26489000E+02 -1.25101000E+02 -1.25110000E+02 -1.23211667E+02 -1.25652000E+02 -1.25579667E+02 -1.23424000E+02 -1.23791667E+02 -1.25465333E+02 -1.26509000E+02 -1.26924000E+02 -1.25008333E+02 -1.26303667E+02 -1.24626000E+02 -1.24490333E+02 -1.26023667E+02 -1.24236667E+02 -1.24761000E+02 -1.25641333E+02 -1.26673667E+02 -1.23221000E+02 -1.26016333E+02 -1.25374667E+02 -1.24196667E+02 -1.25779000E+02 -1.26615333E+02 -1.23741333E+02 -1.27662667E+02 -1.25544667E+02 -1.24087000E+02 -1.26719333E+02 -1.29384667E+02 -1.28519667E+02 
 -1.28038000E+02 -1.29626000E+02 -1.30589333E+02 -1.29355000E+02 -1.29421333E+02 -1.29900667E+02 -1.29997667E+02 -1.30695333E+02 -1.32725333E+02 -1.34363667E+02 -1.34918000E+02 -1.33507667E+02 -1.30946667E+02 -1.32005667E+02 -1.32048667E+02 -1.34378667E+02 -1.34497000E+02 -1.34297000E+02 -1.32658667E+02 -1.35790000E+02 -1.34207000E+02 -1.30078000E+02 -1.32365667E+02 -1.31194667E+02 -1.30916000E+02 -1.30895000E+02 -1.31604333E+02 -1.32598333E+02 -1.32215333E+02 -1.34475000E+02 -1.33484333E+02 -1.34062333E+02 -1.32122333E+02 -1.31783333E+02 -1.33502667E+02 -1.31401333E+02 -1.30607667E+02 -1.31363000E+02 
 -1.31876333E+02 -1.34979667E+02 -1.32938333E+02 -1.35354333E+02 -1.37511000E+02 -1.37266333E+02 -1.38441000E+02 -1.38130667E+02 -1.37764667E+02 -1.37726667E+02 -1.39853333E+02 -1.39395667E+02 -1.40037667E+02 -1.39453667E+02 -1.36908333E+02 -1.38068667E+02 -1.36638333E+02 -1.36747000E+02 -1.38448000E+02 -1.37559000E+02 -1.39379667E+02 -1.39295000E+02 -1.39970667E+02 -1.39051000E+02 -1.39851000E+02 -1.38326667E+02 -1.40635000E+02 -1.38441667E+02 -1.39953667E+02 -1.37312000E+02 -1.38957667E+02 -1.39808333E+02 -1.35459333E+02 -1.36577000E+02 -1.39382333E+02 -1.37142000E+02 -1.40140000E+02 -1.39364333E+02 
 -1.39799333E+02 -1.43847667E+02 -1.45314333E+02 -1.43575000E+02 -1.45609000E+02 -1.45252667E+02 -1.45634000E+02 -1.46676000E+02 -1.45958333E+02 -1.46955667E+02 -1.45705333E+02 -1.46605000E+02 -1.44611333E+02 -1.44579000E+02 -1.47097000E+02 -1.48606000E+02 -1.46061333E+02 -1.44620333E+02 -1.45620333E+02 -1.43335000E+02 -1.41681333E+02 -1.42815667E+02 -1.45890333E+02 -1.45899333E+02 -1.42026333E+02 -1.46774000E+02 -1.43015667E+02 -1.43208333E+02 -1.43841000E+02 -1.43694333E+02 -1.44924667E+02 -1.43426000E+02 -1.44459333E+02 -1.44133000E+02 -1.45695667E+02 -1.43946333E+02 -1.45484667E+02 -1.45047333E+02 
 -1.44663333E+02 -1.49038667E+02 -1.49013667E+02 -1.50098667E+02 -1.49497000E+02 -1.53132000E+02 -1.51077000E+02 -1.52271333E+02 -1.50129667E+02 -1.56607333E+02 -1.54405333E+02 -1.50614000E+02 -1.54384667E+02 -1.50262333E+02 -1.49994667E+02 -1.53812000E+02 -1.48929333E+02 -1.52298667E+02 -1.53354667E+02 -1.51768333E+02 -1.49957667E+02 -1.48823333E+02 -1.50641333E+02 -1.50258333E+02 -1.52458000E+02 -1.53393000E+02 -1.52667667E+02 -1.52810000E+02 -1.54979333E+02 -1.56889667E+02 -1.53579667E+02 -1.55919000E+02 -1.53313000E+02 -1.51522000E+02 -1.51136000E+02 -1.48690333E+02 -1.47595000E+02 -1.48086333E+02 
 -1.49715000E+02 -1.50723333E+02 -1.52464333E+02 -1.55687000E+02 -1.57356000E+02 -1.56676000E+02 -1.57927333E+02 -1.58296333E+02 -1.57297333E+02 -1.58729000E+02 -1.61647667E+02 -1.61404333E+02 -1.61187667E+02 -1.60379000E+02 -1.57841333E+02 -1.59740333E+02 -1.56970667E+02 -1.58294667E+02 -1.56446333E+02 -1.54999000E+02 -1.57743000E+02 -1.58715667E+02 -1.59068667E+02 -1.59567667E+02 -1.57570667E+02 -1.61331000E+02 -1.60727667E+02 -1.58429333E+02 -1.58489000E+02 -1.59303667E+02 -1.60490667E+02 -1.60076667E+02 -1.60007000E+02 -1.60850333E+02 -1.62405333E+02 -1.60521000E+02 -1.58625333E+02 -1.62126333E+02 
 -1.60785333E+02 -1.64766333E+02 -1.64426000E+02 -1.66432333E+02 -1.64272000E+02 -1.67156333E+02 -1.67070667E+02 -1.68024333E+02 -1.69120000E+02 -1.67223333E+02 -1.65594000E+02 -1.63920000E+02 -1.68265667E+02 -1.68584333E+02 -1.66533000E+02 -1.68676667E+02 -1.68289333E+02 -1.67453667E+02 -1.67925667E+02 -1.67488000E+02 -1.67417667E+02 -1.67704667E+02 -1.67118000E+02 -1.64665667E+02 -1.67577000E+02 -1.68193333E+02 -1.68694333E+02 -1.66451667E+02 -1.64846333E+02 -1.67655000E+02 -1.66457333E+02 -1.67804667E+02 -1.67751333E+02 -1.68975333E+02 -1.67350667E+02 -1.65813667E+02 -1.68274667E+02 -1.70802000E+02 
