  0.00000000E+00 -3.42766000E+02 -3.94549000E+02 -4.21130000E+02 -4.39439333E+02 -4.42936333E+02 -4.45080333E+02 -4.40909667E+02 -4.45438667E+02 -4.44301333E+02 
 -4.42676000E+02 -4.60011000E+02 -4.56735333E+02 -4.62522667E+02 -4.62372333E+02 -4.63178000E+02 -4.64080000E+02 -4.62068667E+02 -4.58352667E+02 -4.63423667E+02 
 -4.59784000E+02 -4.73182000E+02 -4.79038000E+02 -4.76746667E+02 -4.77702333E+02 -4.74506000E+02 -4.80237333E+02 -4.82121333E+02 -4.81668667E+02 -4.81793333E+02 
 -4.85418333E+02 -4.91155667E+02 -5.05051667E+02 -5.04765667E+02 -5.06655000E+02 -5.04125667E+02 -5.00487333E+02 -5.02404000E+02 -4.96564333E+02 -5.02392333E+02 
 -5.02140667E+02 -5.15002333E+02 -5.22436000E+02 -5.27720333E+02 -5.27948667E+02 -5.31451000E+02 -5.26742333E+02 -5.31456333E+02 -5.30714000E+02 -5.33153333E+02 
 -5.27569333E+02 -5.42963667E+02 -5.46859667E+02 -5.41691333E+02 -5.50110333E+02 -5.46159333E+02 -5.51861333E+02 -5.52043333E+02 -5.52101667E+02 -5.55911000E+02 
 -5.54228333E+02 -5.62320667E+02 -5.68689333E+02 -5.78548000E+02 -5.78274333E+02 -5.82208000E+02 -5.86668667E+02 -5.86494333E+02 -5.88239000E+02 -5.83126667E+02 
 -5.83387000E+02 -6.01793333E+02 -6.07383000E+02 -6.13906000E+02 -6.17090000E+02 -6.19395000E+02 -6.16630000E+02 -6.13310333E+02 -6.14746333E+02 -6.12913000E+02 
 -6.08381667E+02 -6.20614333E+02 -6.25071000E+02 -6.34493333E+02 -6.39976667E+02 -6.40551000E+02 -6.46299667E+02 -6.43769333E+02 -6.41606667E+02 -6.42663667E+02 
 -6.46346667E+02 -6.56384000E+02 -6.69755333E+02 -6.76805667E+02 -6.74235667E+02 -6.78464667E+02 -6.73247667E+02 -6.79239333E+02 -6.82422333E+02 -6.79092667E+02 
 -6.79188000E+02 -6.89208000E+02 -6.93662000E+02 -6.96687000E+02 -6.97694000E+02 -6.96636667E+02 -6.98789333E+02 -7.07990333E+02 -7.06540667E+02 -7.05571667E+02 
 -7.06051000E+02 -7.24755333E+02 -7.30017000E+02 -7.40397667E+02 -7.43473000E+02 -7.44353667E+02 -7.52783333E+02 -7.50457667E+02 -7.53336333E+02 -7.59006667E+02 
 -7.55845000E+02 -7.70444000E+02 -7.85364667E+02 -7.90031333E+02 -7.88429667E+02 -7.85425667E+02 -7.94508667E+02 -7.91357000E+02 -7.96374333E+02 -7.93906667E+02 
 -8.01645000E+02 -8.07715333E+02 -8.20208333E+02 -8.29354000E+02 -8.30723333E+02 -8.35256000E+02 -8.37753000E+02 -8.39776333E+02 -8.43774667E+02 -8.42567333E+02 
 -8.43778667E+02 -8.61657333E+02 -8.67184333E+02 -8.76253333E+02 -8.80329333E+02 -8.85192667E+02 -8.92294333E+02 -8.98895000E+02 -8.97722000E+02 -8.98042333E+02 
 -8.96925667E+02 -9.17633000E+02 -9.21434333E+02 -9.34188000E+02 -9.32129333E+02 -9.39579667E+02 -9.49665667E+02 -9.52971000E+02 -9.55544000E+02 -9.53111333E+02 
 -9.66110000E+02 -9.75121333E+02 -9.86150000E+02 -9.95041667E+02 -9.97345333E+02 -1.00315433E+03 -1.00342500E+03 -1.01125400E+03 -1.01799200E+03 -1.01229300E+03 
 -1.01471733E+03 -1.02730967E+03 -1.04310033E+03 -1.05825100E+03 -1.06126533E+03 -1.06710333E+03 -1.07454733E+03 -1.07254667E+03 -1.07640967E+03 -1.08415400E+03 
 -1.09341467E+03 -1.11425200E+03 -1.12698600E+03 -1.13644300E+03 -1.14290133E+03 -1.14543533E+03 -1.14982167E+03 -1.15477133E+03 -1.16086600E+03 -1.16750633E+03 
 -1.17017733E+03 -1.18884733E+03 -1.20090133E+03 -1.20891233E+03 -1.21589333E+03 -1.22916233E+03 -1.24098400E+03 -1.24689333E+03 -1.25341933E+03 -1.25772267E+03 
