      0.00000000     15.98333333     22.42500000     24.73333333     26.83333333     27.19166667     27.01666667     28.28333333     28.92500000     27.90000000 
     28.88333333     28.59166667     29.76666667     30.11666667     30.25833333     29.55000000     29.00000000     30.03333333     30.10000000     30.52500000 
     31.32500000     32.44166667     31.67500000     31.63333333     32.02500000     32.49166667     32.92500000     31.73333333     32.50833333     33.65833333 
     33.45000000     33.69166667     35.60000000     35.10833333     35.57500000     34.99166667     34.41666667     34.25000000     34.62500000     33.86666667 
     33.85833333     35.60833333     35.35000000     37.21666667     36.89166667     36.84166667     37.12500000     37.04166667     36.20833333     36.48333333 
     36.81666667     38.90833333     38.30000000     38.41666667     38.10833333     38.84166667     39.22500000     39.78333333     38.94166667     39.23333333 
     38.50833333     40.30833333     41.00833333     41.48333333     41.26666667     42.31666667     42.90833333     42.31666667     41.44166667     42.78333333 
     42.17500000     44.07500000     44.07500000     45.48333333     45.16666667     44.28333333     45.33333333     44.99166667     44.61666667     46.34166667 
     46.59166667     46.63333333     46.82500000     47.90833333     48.15833333     48.95833333     48.63333333     48.70000000     48.12500000     46.16666667 
     47.05833333     50.45833333     51.73333333     52.42500000     52.55833333     52.08333333     52.40000000     51.93333333     51.38333333     51.23333333 
     51.87500000     53.95000000     53.55000000     54.11666667     53.85833333     55.65833333     54.57500000     55.69166667     55.35833333     55.13333333 
     56.05833333     56.60000000     57.65833333     60.60000000     61.78333333     60.59166667     61.11666667     62.15000000     62.85833333     62.96666667 
     61.80833333     63.05833333     63.56666667     63.25833333     64.03333333     64.70000000     65.82500000     66.80000000     66.96666667     66.85833333 
     67.85833333     69.35833333     69.93333333     68.55000000     71.06666667     71.14166667     70.36666667     71.60833333     71.23333333     73.04166667 
     71.98333333     74.39166667     74.14166667     75.66666667     76.44166667     77.61666667     78.61666667     79.06666667     77.30000000     77.33333333 
     78.14166667     80.86666667     82.47500000     83.80000000     84.32500000     81.79166667     81.92500000     81.94166667     82.46666667     83.75833333 
     84.86666667     86.41666667     88.72500000     90.40000000     90.61666667     91.49166667     90.71666667     90.40000000     92.70000000     93.74166667 
     94.99166667     96.95000000     96.43333333     97.37500000     98.67500000     98.28333333     98.05000000     96.73333333     96.45833333     97.90833333 
    101.06666667    102.81666667    105.52500000    107.15833333    106.40833333    107.02500000    108.35000000    109.25833333    110.29166667    109.15000000 
    109.50000000    111.71666667    114.22500000    114.39166667    116.02500000    117.61666667    119.80833333    121.50833333    123.50000000    122.04166667 
    119.97500000    122.12500000    126.45833333    127.30833333    129.49166667    130.71666667    131.97500000    132.35000000    132.92500000    134.64166667 
    136.82500000    139.25000000    139.79166667    141.30833333    142.69166667    143.08333333    144.41666667    143.42500000    144.20833333    145.21666667 
    145.64166667    148.85000000    150.12500000    153.43333333    156.14166667    157.75833333    158.94166667    161.60000000    162.53333333    163.44166667 
    163.77500000    167.09166667    169.22500000    170.61666667    172.16666667    173.84166667    174.00833333    175.17500000    176.40000000    177.50000000 
    180.00833333    183.05833333    186.86666667    191.75833333    192.31666667    194.10833333    195.19166667    197.45000000    199.75833333    201.80000000 
    201.85000000    204.07500000    207.46666667    209.55000000    212.75000000    216.01666667    218.33333333    221.01666667    223.01666667    223.79166667 
    228.45833333    230.35000000    234.21666667    237.42500000    239.78333333    241.69166667    244.68333333    246.91666667    248.35833333    251.60833333 
    252.92500000    255.80833333    259.10833333    260.66666667    264.31666667    265.28333333    268.52500000    271.51666667    274.98333333    280.45000000 
    280.01666667    285.17500000    291.60833333    295.06666667    298.30833333    300.80833333    304.80000000    306.72500000    310.77500000    311.44166667 
    315.27500000    318.78333333    324.58333333    329.90833333    334.50833333    338.59166667    342.77500000    343.53333333    344.80833333    349.62500000 
    351.94166667    354.72500000    359.61666667    363.95833333    368.68333333    372.00833333    375.60000000    381.27500000    387.47500000    392.11666667 
    396.75000000    402.60000000    405.75833333    411.16666667    418.67500000    423.42500000    427.93333333    434.03333333    437.00000000    441.62500000 
    445.07500000    450.15000000    455.24166667    461.06666667    465.62500000    471.98333333    476.41666667    484.36666667    487.69166667    493.54166667 
    497.37500000    504.76666667    512.12500000    520.16666667    527.51666667    536.36666667    542.11666667    548.50833333    554.89166667    561.82500000 
    567.05833333    573.49166667    582.55000000    590.99166667    600.10833333    607.51666667    614.99166667    621.62500000    627.03333333    634.86666667 
    640.54166667    651.05833333    660.66666667    668.95000000    674.98333333    680.84166667    687.25833333    695.45833333    704.51666667    710.85833333 
    716.10833333    727.14166667    737.75000000    748.25000000    756.25000000    764.40833333    776.38333333    786.81666667    796.75833333    804.40833333 
    812.62500000    825.75000000    837.00833333    848.15000000    858.00000000    867.56666667    876.91666667    887.25833333    897.34166667    906.45000000 
    915.60000000    925.84166667    935.99166667    948.59166667    959.85000000    969.27500000    979.72500000    991.10000000   1001.31666667   1010.80833333 
   1021.27500000   1035.45833333   1049.00833333   1061.63333333   1073.48333333   1089.24166667   1100.87500000   1113.75000000   1125.13333333   1135.24166667 
   1143.72500000   1157.85833333   1172.85833333   1185.55833333   1200.53333333   1212.16666667   1225.73333333   1236.52500000   1250.02500000   1261.41666667 
   1275.48333333   1290.85000000   1305.38333333   1321.30000000   1334.95000000   1350.38333333   1364.38333333   1377.95833333   1393.20000000   1407.76666667 
   1421.55000000   1440.53333333   1457.70833333   1474.87500000   1490.66666667   1508.32500000   1524.15833333   1537.84166667   1552.13333333   1567.70833333 
   1583.12500000   1600.81666667   1616.00000000   1634.90000000   1651.38333333   1666.45833333   1680.34166667   1699.56666667   1715.50000000   1732.62500000 
